year,agricultura,industria,construccion,servicios,total
1972,3.16094712746858,3.04164871469375,1.33037480544747,5.39268488538682,12.9256555329966
1973,3.07288824057451,3.1643338940019,1.36723657587549,5.68136062559694,13.2858193360488
1974,2.92337158886894,3.2030269120914,1.39069406614786,5.8023823782235,13.3194749453317
1975,2.64727028725314,3.23228260869565,1.35048122568093,5.75463985195797,12.9846739735877
1976,2.48307715439856,3.28985026975563,1.34601313229572,5.799051504298,12.9179920607479
1977,2.38676274685817,3.29173773405268,1.41750262645914,5.85234548710602,12.948348594476
1978,2.28677921903052,3.2068018406855,1.32925778210117,5.805713252149,12.6285520939662
1979,2.18037473070018,3.08883532211996,1.24994912451362,5.91452180038204,12.4336809777158
1980,2.0437,2.9737,1.1483,5.812375,11.978075
1981,1.91482420933537,2.79757854693432,1.06146334493753,5.9120106686048,11.685876769812
1982,1.86005443827883,2.67429909896934,1.04493400842157,6.00626203837426,11.585549584044
1983,1.84252722110066,2.62036613203078,1.01502094667463,6.06981385977172,11.5477281595778
1984,1.76681682538146,2.55719133721995,0.882912349382499,6.08027189396926,11.2871924059532
1985,1.70079219187218,2.48598735694495,0.840362780610394,6.14775184373886,11.1748941731664
1986,1.57930863394756,2.52271441376083,0.902267354788398,6.43969404227675,11.4439844447735
1987,1.53524078722725,2.60414124246296,1.00934869390782,6.85620714879101,12.004937872389
1988,1.51080973378526,2.64939053479081,1.11238937820868,7.16562739790388,12.4382170446886
1989,1.40585698720547,2.7274397605465,1.23584298763687,7.53626021995343,12.9053999553423
1990,1.35162683778137,2.81026936671998,1.33419739799859,7.91670744573049,13.4128010482304
1991,1.2180585775989,2.77237340047316,1.39208215364038,8.21178558835856,13.594299720071
1992,1.12740506218833,2.6799263142048,1.30749760147977,8.30700049253712,13.42182947041
1993,1.064980325692,2.53545455737205,1.19034531730628,8.26448531316638,13.0552655135367
1994,1.01722598682727,2.48248038866397,1.15798032571149,8.35672440427603,13.0144111054788
1995,0.9664,2.521,1.2242,8.5733,13.2849
1996,0.9934,2.61,1.2343,8.6126,13.4503
1997,0.9786,2.7292,1.3305,8.8894,13.9277
1998,0.9822,2.8329,1.4412,9.2608,14.5171
1999,0.9556,2.9308,1.6133,9.6869,15.1866
2000,0.942,3.0268,1.8466,10.1082,15.9236
2001,0.9493,3.0329,1.9781,10.5214,16.4817
2002,0.9379,3.0109,2.0514,10.8934,16.8936
2003,0.9272,3.0266,2.1407,11.2847,17.3792
2004,0.8968,3.0211,2.2239,11.7276,17.8694
2005,0.8718,3.0142,2.3799,12.2475,18.5134
2006,0.8238,2.9684,2.5196,12.8808,19.1926
2007,0.805,2.9227,2.6485,13.4362,19.8124
2008,0.7752,2.8943,2.3364,13.8439,19.8498
2009,0.742,2.562,1.83,13.5081,18.6421
2010,0.7471,2.4857,1.5741,13.3412,18.1481
2011,0.72,2.3999,1.334,13.1933,17.6472
2012,0.696318,2.23429,1.093215,12.773401,16.797224
2013,0.686118,2.132695,0.953923,12.453076,16.225812
2014,0.691658,2.106074,0.930683,12.665048,16.393463
2015,0.70025,2.160743,0.996502,13.053818,16.911313
2016,0.727109,2.227065,1.012932,13.450604,17.41771
2017,0.754158,2.2993795,1.065398,13.78865325,17.90758875
